state,client Name,client Lastname,employee,date,Observations,createdBy,modifyBy,products;;;
2,Raina,Wren,Juan Lopez,2021-02-12 15:40:00,convallis duis consequat dui nec,smcelvinerr,yfeildrr,#P999,#P0,#P773,#P226
0,Wakefield,Sinnatt,Juan Lopez,2020-04-6 17:51:00,jconneelyrq,pfauxrq,#P998,#P1,#P238,#P761,
1,Charmine,Androck,Juan Lopez,2020-04-28 21:30:00,faucibus accumsan odio curabitur convallis,mputlandrh,wsarllrh,#P989,#P10,#P504,#P495
3,Herc,Drinkhill,Juan Lopez,2020-07-28 14:35:00,rpeskettoz,fosbandoz,#P899,#P100,#P973,#P26,
1,Leeanne,Stallard,Juan Lopez,2020-11-8 22:20:00,mi pede malesuada in,atilburnoy,clithgowoy,#P898,#P101,#P480,#P519
1,Judon,Antal,Felipe Soto,2020-08-28 12:04:00,pretium iaculis justo in,tebourneox,dgorriesox,#P897,#P102,#P479,#P520
1,Brigitte,McKeady,Felipe Soto,2020-03-29 20:11:00,proin at turpis a,mfetherstonhaughow,rlaisterow,#P896,#P103,#P478,#P521
3,Ardelle,McIlvaney,Felipe Soto,2020-07-21 21:05:00,amet lobortis,creboulov,fswendellov,#P895,#P104,#P972,#P27
0,Malissa,Mingame,Juan Lopez,2020-05-24 18:39:00,id mauris vulputate,dhamnettou,dsullyou,#P894,#P105,#P216,#P783
1,Jessie,Llywarch,Felipe Soto,2020-09-30 21:48:00,suspendisse potenti,khardenot,cjeannessonot,#P893,#P106,#P477,#P522
1,Kyle,Pickover,Felipe Soto,2020-11-4 23:26:00,id nisl venenatis lacinia aenean,ddismanos,dfallenos,#P892,#P107,#P476,#P523
0,Maurita,Bliss,Felipe Soto,2020-09-2 13:43:00,at nunc commodo placerat,lcrathorneor,elindenfeldor,#P891,#P108,#P215,#P784
2,Tate,Becconsall,Juan Lopez,2021-01-3 18:12:00,velit,bfinkoq,cnunneryoq,#P890,#P109,#P746,#P253
1,Des,Ducrow,Felipe Soto,2020-06-25 14:21:00,erat nulla tempus vivamus in,mlysaghtrg,lnasebyrg,#P988,#P11,#P503,#P496
1,Indira,Vann,Felipe Soto,2020-11-25 18:48:00,at vulputate vitae nisl aenean,epreedyop,cblaaschop,#P889,#P110,#P475,#P524
3,Berty,Caddens,Juan Lopez,2021-02-1 15:02:00,velit eu est congue elementum,kpinckstoneoo,kphillpsoo,#P888,#P111,#P971,#P28
2,Carree,Morin,Felipe Soto,2021-02-18 22:10:00,quis lectus,nschistlon,gspurdenson,#P887,#P112,#P745,#P254
3,Elly,Milburne,Felipe Soto,2020-06-7 13:01:00,semper sapien,fstonbridgeom,nhebborneom,#P886,#P113,#P970,#P29
1,Idelle,Dowall,Juan Lopez,2020-12-21 16:50:00,nec,hamissol,bchappelleol,#P885,#P114,#P474,#P525
2,Sula,Grovier,Felipe Soto,2020-08-19 20:00:00,id luctus nec molestie,wwrothamok,civantyevok,#P884,#P115,#P744,#P255
2,Min,Sleite,Felipe Soto,2021-03-3 15:29:00,sed justo pellentesque viverra,hleacockoj,tendleyoj,#P883,#P116,#P743,#P256
0,Constancy,Gerraty,Felipe Soto,2021-03-16 16:59:00,ostodartoi,gsheavillsoi,#P882,#P117,#P214,#P785,
3,Rand,Josilevich,Juan Lopez,2021-03-1 20:34:00,fkeenoh,mphillinsoh,#P881,#P118,#P969,#P30,
0,Tristan,Winspeare,Felipe Soto,2020-05-13 23:28:00,diam erat fermentum,dbailissog,sbecceroog,#P880,#P119,#P213,#P786
0,Gorden,Morales,Juan Lopez,2020-06-18 17:06:00,lacus purus aliquet,pwiggansrf,bgolloprf,#P987,#P12,#P235,#P764
0,Julieta,Dillamore,Juan Lopez,2020-05-26 23:46:00,eget congue eget semper rutrum,colekhovof,rlafayetteof,#P879,#P120,#P212,#P787
3,Sigismund,Bellamy,Juan Lopez,2020-09-5 23:51:00,rsuddardsoe,bsartinoe,#P878,#P121,#P968,#P31,
3,Benito,Bulfield,Felipe Soto,2021-03-11 22:51:00,rutrum ac lobortis,fsedgeworthod,jenockssonod,#P877,#P122,#P967,#P32
1,Xaviera,Praill,Juan Lopez,2020-04-8 17:37:00,sapien cursus vestibulum,sopdenorthoc,lmintrimoc,#P876,#P123,#P473,#P526
0,Hobie,Roake,Felipe Soto,2021-03-26 23:20:00,id ligula suspendisse ornare,gtrelevenob,ydaltonob,#P875,#P124,#P211,#P788
2,Lizette,Gulk,Juan Lopez,2020-06-14 13:26:00,in,goshieldsoa,jmathivetoa,#P874,#P125,#P742,#P257
1,Ken,Keddie,Felipe Soto,2020-08-11 12:22:00,fknowltono9,mmoyeo9,#P873,#P126,#P472,#P527,
1,Frazier,Foucard,Felipe Soto,2020-05-27 23:30:00,quam sollicitudin vitae consectetuer eget,smarcumo8,myeileso8,#P872,#P127,#P471,#P528
0,Denis,Crickmoor,Felipe Soto,2020-05-23 20:55:00,morbi non lectus,cfarringtono7,bandresso7,#P871,#P128,#P210,#P789
0,Dorrie,Brislan,Felipe Soto,2021-01-2 22:44:00,donec,aravenscroftto6,gsedgwicko6,#P870,#P129,#P209,#P790
1,Mayer,Cattanach,Felipe Soto,2020-09-21 20:45:00,pulvinar lobortis est phasellus sit,odoodneyre,vbodillre,#P986,#P13,#P502,#P497
0,Celia,Landon,Felipe Soto,2021-01-19 22:52:00,tempor turpis nec euismod,vspenceo5,tmcguinleyo5,#P869,#P130,#P208,#P791
1,Tadeas,McCrum,Juan Lopez,2020-10-14 16:07:00,ac enim in tempor,edreppo4,hdursleyo4,#P868,#P131,#P470,#P529
1,Tony,Scimone,Juan Lopez,2020-08-19 12:19:00,augue vestibulum,jsheltono3,dwasielao3,#P867,#P132,#P469,#P530
3,Sollie,Inde,Felipe Soto,2020-12-26 17:11:00,justo sit,kbordero2,lmcquadeo2,#P866,#P133,#P966,#P33
2,Dionisio,Jukubczak,Felipe Soto,2021-03-27 23:39:00,fusce,tnewnso1,broundo1,#P865,#P134,#P741,#P258
2,Muffin,Bodman,Felipe Soto,2020-08-22 23:46:00,id,hbescobyo0,bdeclerco0,#P864,#P135,#P740,#P259
0,Melodee,Hugin,Juan Lopez,2021-02-15 18:14:00,vehicula condimentum,kdurkinnz,efritznz,#P863,#P136,#P207,#P792
3,Nataline,Arstingall,Juan Lopez,2021-01-20 21:03:00,lacinia eget,rchinnockny,rwhistlecraftny,#P862,#P137,#P965,#P34
2,Tanhya,Pollastro,Felipe Soto,2021-01-8 15:34:00,ut suscipit a feugiat et,faldingtonnx,clanonnx,#P861,#P138,#P739,#P260
2,Bastien,Champneys,Juan Lopez,2021-01-17 18:35:00,non quam nec,lmcelreenw,sateridgenw,#P860,#P139,#P738,#P261
0,Coralyn,Hallstone,Juan Lopez,2020-04-20 15:55:00,congue,mkollatschrd,dhuguevillerd,#P985,#P14,#P234,#P765
3,Ketti,Ziehm,Juan Lopez,2020-04-8 14:52:00,jkollaschnv,ccordeuxnv,#P859,#P140,#P964,#P35,
0,Hinda,Bridie,Felipe Soto,2020-04-23 22:32:00,semper rutrum,vmccombenu,orollingsnu,#P858,#P141,#P206,#P793
0,Fania,Rotherham,Juan Lopez,2020-10-9 13:05:00,ut suscipit a feugiat et,bjarradnt,asickertnt,#P857,#P142,#P205,#P794
0,Luelle,Perelli,Juan Lopez,2020-04-4 21:23:00,massa tempor convallis nulla,cenrichns,esibbsonns,#P856,#P143,#P204,#P795
3,Perle,Rodrig,Juan Lopez,2020-09-28 19:20:00,dapibus augue vel accumsan tellus,jmabbenr,zharlandnr,#P855,#P144,#P963,#P36
1,Bernice,Hearty,Felipe Soto,2020-08-15 13:24:00,cras in purus,wdudmannq,afebvrenq,#P854,#P145,#P468,#P531
2,Nichol,Lovick,Felipe Soto,2021-01-23 14:41:00,nam nulla integer pede,rstokoenp,rtimmermannnp,#P853,#P146,#P737,#P262
0,Blake,Creer,Felipe Soto,2020-06-2 12:39:00,magna vulputate luctus cum sociis,gcastillano,ajealousno,#P852,#P147,#P203,#P796
0,Veda,Orringe,Felipe Soto,2020-04-18 13:21:00,rdymentnn,brozyckinn,#P851,#P148,#P202,#P797,
1,Helena,Haccleton,Felipe Soto,2021-03-26 19:27:00,amet eleifend pede,efeirnnm,sodynm,#P850,#P149,#P467,#P532
1,Jacenta,Poston,Juan Lopez,2021-02-27 12:35:00,at,bhagertyrc,dvonbrookrc,#P984,#P15,#P501,#P498
1,Pansie,Duigan,Juan Lopez,2020-12-29 23:50:00,sit amet diam,gsavaagenl,rbrehautnl,#P849,#P150,#P466,#P533
0,Edouard,Tubridy,Felipe Soto,2020-11-8 16:31:00,in leo,hsoutternk,kgarveynk,#P848,#P151,#P201,#P798
1,Van,Brookwell,Felipe Soto,2020-12-5 19:49:00,ut dolor morbi vel,mneilandnj,aproppernj,#P847,#P152,#P465,#P534
